Placette,Secteur,Trait.,Bloc,Num,Essence,Diametre_(mm)_2022_ou_2021
4,Forestville,3_ans,A,1,EPN,216
4,Forestville,3_ans,A,2,EPN,186
4,Forestville,3_ans,A,3,EPN,149
4,Forestville,3_ans,A,4,EPN,224
4,Forestville,3_ans,A,5,EPN,187
4,Forestville,3_ans,A,6,SAB,182
4,Forestville,3_ans,A,7,EPN,168
4,Forestville,3_ans,A,8,EPN,145
4,Forestville,3_ans,A,9,EPN,213
4,Forestville,3_ans,A,10,EPN,172
4,Forestville,3_ans,A,11,EPN,265
4,Forestville,3_ans,A,12,EPN,220
4,Forestville,3_ans,A,13,EPN,226
4,Forestville,3_ans,A,14,SABm,
4,Forestville,3_ans,A,15,SABm,175
4,Forestville,3_ans,A,16,SABm,
4,Forestville,3_ans,A,17,SABm,
4,Forestville,3_ans,A,18,EPB,176
4,Forestville,3_ans,A,19,SABm,172
4,Forestville,3_ans,A,20,SABm,
4,Forestville,3_ans,A,21,SABm,
4,Forestville,3_ans,A,22,SABm,
4,Forestville,3_ans,A,23,SABm,
4,Forestville,3_ans,A,24,SABm,
4,Forestville,3_ans,A,25,SABm,
4,Forestville,3_ans,A,26,SAB,185
4,Forestville,3_ans,A,27,SABm,
4,Forestville,3_ans,A,28,SAB,183
4,Forestville,3_ans,A,29,EPB,167
4,Forestville,3_ans,A,30,SABm,
4,Forestville,3_ans,A,31,SABm,
4,Forestville,3_ans,A,32,EPBm,
4,Forestville,3_ans,A,33,EPBm,
4,Forestville,3_ans,A,34,SABm,
4,Forestville,3_ans,A,35,EPNm,
4,Forestville,3_ans,A,36,EPN,203
4,Forestville,3_ans,A,37,EPN,216
4,Forestville,3_ans,A,38,SAB,150
4,Forestville,3_ans,A,39,SABm,
4,Forestville,3_ans,A,40,SABm,133
4,Forestville,3_ans,A,41,SABm,121
4,Forestville,3_ans,A,42,SAB,191
4,Forestville,3_ans,A,43,SABm,
4,Forestville,3_ans,A,44,SABm,
4,Forestville,3_ans,A,45,SAB,184
4,Forestville,3_ans,A,46,SAB,220
4,Forestville,3_ans,A,47,SABm,
4,Forestville,3_ans,A,48,SABm,
4,Forestville,3_ans,A,49,SAB,130
4,Forestville,3_ans,A,50,SAB,142
4,Forestville,3_ans,A,51,EPBm,
4,Forestville,3_ans,A,52,EPB,251
4,Forestville,3_ans,A,53,SABm,117
4,Forestville,3_ans,A,54,EPN,197
4,Forestville,3_ans,A,55,EPBm,
4,Forestville,3_ans,A,56,EPB,180
4,Forestville,3_ans,A,57,SABm,115
4,Forestville,3_ans,A,58,EPBm,
4,Forestville,3_ans,A,59,SABm,
4,Forestville,3_ans,A,60,EPB,207
4,Forestville,3_ans,A,61,EPN,245
4,Forestville,3_ans,A,62,EPB,171
4,Forestville,3_ans,A,63,EPNm,
4,Forestville,3_ans,A,64,EPN,235
4,Forestville,3_ans,A,65,EPN,175
4,Forestville,3_ans,A,66,EPN,155
4,Forestville,3_ans,A,67,EPN,210
4,Forestville,3_ans,A,68,SABm,
4,Forestville,3_ans,A,69,EPN,258
4,Forestville,3_ans,A,70,EPN,156
4,Forestville,3_ans,A,71,EPN,171
4,Forestville,3_ans,A,72,SABm,
4,Forestville,3_ans,A,73,EPB,138
4,Forestville,3_ans,A,74,EPB,168
4,Forestville,3_ans,A,75,EPBm,
4,Forestville,3_ans,A,76,EPB,175
4,Forestville,3_ans,A,77,SABm,
4,Forestville,3_ans,A,78,EPN,146
4,Forestville,3_ans,A,79,EPNm,
4,Forestville,3_ans,A,80,SABm,
4,Forestville,3_ans,A,81,EPNm,
4,Forestville,3_ans,A,82,EPNm,
4,Forestville,3_ans,A,83,EPN,226
4,Forestville,3_ans,A,84,EPN,145
4,Forestville,3_ans,A,85,EPBm,117
4,Forestville,3_ans,A,86,EPB,132
4,Forestville,3_ans,A,87,EPN,217
4,Forestville,3_ans,A,88,EPBm,
4,Forestville,3_ans,A,89,EPB,170
4,Forestville,3_ans,A,90,EPB,126
4,Forestville,3_ans,A,91,SABm,
4,Forestville,3_ans,A,92,EPB,132
4,Forestville,3_ans,A,93,EPBm,
4,Forestville,3_ans,A,94,EPN,105
4,Forestville,3_ans,A,95,EPN,101
4,Forestville,3_ans,A,96,EPN,133
4,Forestville,3_ans,A,97,EPN,186
4,Forestville,3_ans,A,98,EPBm,
4,Forestville,3_ans,A,99,EPN,189
4,Forestville,3_ans,A,100,EPN,120
4,Forestville,3_ans,A,101,EPN,166
4,Forestville,3_ans,A,102,EPN,210
4,Forestville,3_ans,A,103,SAB,103
4,Forestville,3_ans,A,104,SABm,93
4,Forestville,3_ans,A,105,SABm,
4,Forestville,3_ans,A,106,SAB,94
4,Forestville,3_ans,A,107,SAB,93
4,Forestville,3_ans,A,108,SABm,
4,Forestville,3_ans,A,109,BOP,108
,,,,,,
4,Forestville,3_ans,B,1,EPN,230
4,Forestville,3_ans,B,2,EPNm,
4,Forestville,3_ans,B,3,SABm,186
4,Forestville,3_ans,B,4,SABm,
4,Forestville,3_ans,B,5,EPN,237
4,Forestville,3_ans,B,6,SABm,132
4,Forestville,3_ans,B,7,SABm,
4,Forestville,3_ans,B,8,SABm,
4,Forestville,3_ans,B,9,SAB,212
4,Forestville,3_ans,B,10,SAB,136
4,Forestville,3_ans,B,11,SAB,116
4,Forestville,3_ans,B,12,SABm,
4,Forestville,3_ans,B,13,SAB,155
4,Forestville,3_ans,B,14,SAB,249
4,Forestville,3_ans,B,15,BOP,108
4,Forestville,3_ans,B,16,SABm,
4,Forestville,3_ans,B,17,SABm,
4,Forestville,3_ans,B,18,SABm,
4,Forestville,3_ans,B,19,SAB,228
4,Forestville,3_ans,B,20,SAB,159
4,Forestville,3_ans,B,21,SAB,163
4,Forestville,3_ans,B,22,SAB,177
4,Forestville,3_ans,B,23,SABm,
4,Forestville,3_ans,B,24,SABm,196
4,Forestville,3_ans,B,25,SABm,
4,Forestville,3_ans,B,26,SABm,
4,Forestville,3_ans,B,27,EPB,174
4,Forestville,3_ans,B,28,SABm,
4,Forestville,3_ans,B,29,SAB,153
4,Forestville,3_ans,B,30,EPN,222
4,Forestville,3_ans,B,31,EPN,180
4,Forestville,3_ans,B,32,SABm,
4,Forestville,3_ans,B,33,SABm,
4,Forestville,3_ans,B,34,EPBm,
4,Forestville,3_ans,B,35,EPNm,
4,Forestville,3_ans,B,36,SABm,
4,Forestville,3_ans,B,37,SABm,
4,Forestville,3_ans,B,38,SABm,
4,Forestville,3_ans,B,39,SABm,141
4,Forestville,3_ans,B,40,SAB,126
4,Forestville,3_ans,B,41,SAB,180
4,Forestville,3_ans,B,42,SABm,101
4,Forestville,3_ans,B,43,EPB,138
4,Forestville,3_ans,B,44,SABm,
4,Forestville,3_ans,B,45,SABm,
4,Forestville,3_ans,B,46,SABm,
4,Forestville,3_ans,B,47,SABm,
4,Forestville,3_ans,B,48,SABm,
4,Forestville,3_ans,B,49,SABm,173
4,Forestville,3_ans,B,50,BOP,95
4,Forestville,3_ans,B,51,SABm,
4,Forestville,3_ans,B,52,SABm,
4,Forestville,3_ans,B,53,SABm,158
4,Forestville,3_ans,B,54,SABm,
4,Forestville,3_ans,B,55,SABm,
4,Forestville,3_ans,B,56,SAB,180
4,Forestville,3_ans,B,57,SAB,147
4,Forestville,3_ans,B,58,EPNm,123
4,Forestville,3_ans,B,59,SABm,
4,Forestville,3_ans,B,60,SABm,
4,Forestville,3_ans,B,61,SABm,
4,Forestville,3_ans,B,62,SABm,
4,Forestville,3_ans,B,63,SABm,131
4,Forestville,3_ans,B,64,SAB,176
4,Forestville,3_ans,B,65,SABm,
4,Forestville,3_ans,B,66,SABm,
4,Forestville,3_ans,B,67,SABm,
4,Forestville,3_ans,B,68,SABm,167
4,Forestville,3_ans,B,69,SAB,121
4,Forestville,3_ans,B,70,SAB,144
4,Forestville,3_ans,B,71,SAB,146
4,Forestville,3_ans,B,72,SABm,
4,Forestville,3_ans,B,73,SABm,
4,Forestville,3_ans,B,74,EPNm,
4,Forestville,3_ans,B,75,EPN,206
4,Forestville,3_ans,B,76,SABm,
4,Forestville,3_ans,B,77,EPBm,
4,Forestville,3_ans,B,78,EPB,324
4,Forestville,3_ans,B,79,SABm,136
4,Forestville,3_ans,B,80,SABm,
4,Forestville,3_ans,B,81,SABm,
4,Forestville,3_ans,B,82,SABm,
4,Forestville,3_ans,B,83,EPN,191
4,Forestville,3_ans,B,84,EPN,238
4,Forestville,3_ans,B,85,SABm,
4,Forestville,3_ans,B,86,SAB,174
4,Forestville,3_ans,B,87,EPB,173
4,Forestville,3_ans,B,88,EPN,165
4,Forestville,3_ans,B,89,SABm,
4,Forestville,3_ans,B,90,SABm,
4,Forestville,3_ans,B,91,SAB,160
4,Forestville,3_ans,B,92,SABm,
4,Forestville,3_ans,B,93,EPN,104
4,Forestville,3_ans,B,94,SAB,153
4,Forestville,3_ans,B,95,SABm,
4,Forestville,3_ans,B,96,SABm,
4,Forestville,3_ans,B,97,SABm,
4,Forestville,3_ans,B,98,SABm,
4,Forestville,3_ans,B,99,SABm,
4,Forestville,3_ans,B,100,SABm,
4,Forestville,3_ans,B,101,SABm,
4,Forestville,3_ans,B,102,SABm,
4,Forestville,3_ans,B,103,BOP,106
,,,,,,
4,Forestville,3_ans,C,1,SAB,157
4,Forestville,3_ans,C,2,SAB,121
4,Forestville,3_ans,C,3,EPBm,
4,Forestville,3_ans,C,4,SAB,139
4,Forestville,3_ans,C,5,SABm,
4,Forestville,3_ans,C,6,EPN,197
4,Forestville,3_ans,C,7,SABm,
4,Forestville,3_ans,C,8,SAB,176
4,Forestville,3_ans,C,9,SAB,140
4,Forestville,3_ans,C,10,EPN,162
4,Forestville,3_ans,C,11,EPB,228
4,Forestville,3_ans,C,12,EPB,176
4,Forestville,3_ans,C,13,SAB,113
4,Forestville,3_ans,C,14,SAB,97
4,Forestville,3_ans,C,15,BOP,177
4,Forestville,3_ans,C,16,SAB,113
4,Forestville,3_ans,C,17,EPB,283
4,Forestville,3_ans,C,18,SABm,
4,Forestville,3_ans,C,19,EPB,251
4,Forestville,3_ans,C,20,EPBm,
4,Forestville,3_ans,C,21,EPBm,
4,Forestville,3_ans,C,22,SAB,176
4,Forestville,3_ans,C,23,EPB,201
4,Forestville,3_ans,C,24,EPN,107
4,Forestville,3_ans,C,25,EPN,178
4,Forestville,3_ans,C,26,EPN,120
4,Forestville,3_ans,C,27,SABm,
4,Forestville,3_ans,C,28,EPNm,
4,Forestville,3_ans,C,29,EPN,221
4,Forestville,3_ans,C,30,EPN,131
4,Forestville,3_ans,C,31,SABm,
4,Forestville,3_ans,C,32,EPB,194
4,Forestville,3_ans,C,33,SABm,
4,Forestville,3_ans,C,34,EPBm,
4,Forestville,3_ans,C,35,SABm,
4,Forestville,3_ans,C,36,SABm,
4,Forestville,3_ans,C,37,EPN,267
4,Forestville,3_ans,C,38,EPB,145
4,Forestville,3_ans,C,39,SAB,128
4,Forestville,3_ans,C,40,SAB,106
4,Forestville,3_ans,C,41,EPN,188
4,Forestville,3_ans,C,42,EPN,212
4,Forestville,3_ans,C,43,EPN,222
4,Forestville,3_ans,C,44,EPBm,
4,Forestville,3_ans,C,45,EPN,141
4,Forestville,3_ans,C,46,SAB,105
4,Forestville,3_ans,C,47,EPN,207
4,Forestville,3_ans,C,48,EPN,143
4,Forestville,3_ans,C,49,SAB,134
4,Forestville,3_ans,C,50,SABm,
4,Forestville,3_ans,C,51,EPN,226
4,Forestville,3_ans,C,52,EPN,232
4,Forestville,3_ans,C,53,EPN,208
4,Forestville,3_ans,C,54,EPBm,
4,Forestville,3_ans,C,55,SABm,
4,Forestville,3_ans,C,56,EPN,141
4,Forestville,3_ans,C,57,EPN,217
4,Forestville,3_ans,C,58,EPBm,
4,Forestville,3_ans,C,59,SABm,142
4,Forestville,3_ans,C,60,EPN,120
4,Forestville,3_ans,C,61,SABm,136
4,Forestville,3_ans,C,62,EPN,206
4,Forestville,3_ans,C,63,EPB,150
4,Forestville,3_ans,C,64,EPN,268
4,Forestville,3_ans,C,65,EPBm,
4,Forestville,3_ans,C,66,EPN,168
4,Forestville,3_ans,C,67,EPN,157
4,Forestville,3_ans,C,68,EPN,127
4,Forestville,3_ans,C,69,SABm,109
4,Forestville,3_ans,C,70,EPB,146
4,Forestville,3_ans,C,71,SABm,111
4,Forestville,3_ans,C,72,SAB,148
4,Forestville,3_ans,C,73,EPN,133
4,Forestville,3_ans,C,74,SABm,
4,Forestville,3_ans,C,75,SABm,
4,Forestville,3_ans,C,76,SABm,
4,Forestville,3_ans,C,77,SAB,113
4,Forestville,3_ans,C,78,SAB,199
4,Forestville,3_ans,C,79,SAB,135
4,Forestville,3_ans,C,80,SAB,198
4,Forestville,3_ans,C,81,SABm,
4,Forestville,3_ans,C,82,SAB,136
4,Forestville,3_ans,C,83,SAB,219
4,Forestville,3_ans,C,84,SABm,
4,Forestville,3_ans,C,85,SABm,
4,Forestville,3_ans,C,86,SABm,
4,Forestville,3_ans,C,87,SAB,146
4,Forestville,3_ans,C,88,SAB,205
4,Forestville,3_ans,C,89,EPN,256
4,Forestville,3_ans,C,90,EPB,279
4,Forestville,3_ans,C,91,EPB,214
4,Forestville,3_ans,C,92,SABm,
4,Forestville,3_ans,C,93,SABm,
4,Forestville,3_ans,C,94,SABm,
4,Forestville,3_ans,C,95,SAB,179
4,Forestville,3_ans,C,96,SABm,179
4,Forestville,3_ans,C,97,SABm,
4,Forestville,3_ans,C,98,SABm,
4,Forestville,3_ans,C,99,SAB,188
4,Forestville,3_ans,C,100,SAB,175
4,Forestville,3_ans,C,101,BOP,113
4,Forestville,3_ans,C,102,SABm,
4,Forestville,3_ans,C,103,SABm,
4,Forestville,3_ans,C,104,SABm,
4,Forestville,3_ans,C,105,SAB,98
4,Forestville,3_ans,C,106,SABm,
4,Forestville,3_ans,C,107,SABm,
4,Forestville,3_ans,C,108,SAB,93
4,Forestville,3_ans,C,109,SABm,
4,Forestville,3_ans,C,110,SABm,
,,,,,,
7,Forestville,2_ans,A,1,EPB,205
7,Forestville,2_ans,A,2,SAB,214
7,Forestville,2_ans,A,3,SAB,180
7,Forestville,2_ans,A,4,EPBm,
