Date_(AA-MM-JJ),Trait.,Placette,Bloc,Arbre,Num,Localisation,Evernia_sp.,Usnea_sp.,Bryoria_sp.
21 juin 2022,3_ans,4,A,Ab1,49,S4,,1.99,
21 juin 2022,3_ans,4,A,Ab2,50,S5,,1,
21 juin 2022,3_ans,4,A,P1,11,N12,,0.5,
21 juin 2022,3_ans,4,A,P2,1,N9,0.13,0.5,0.03
21 juin 2022,3_ans,4,B,Ab1,57,S3,,1.99,
21 juin 2022,3_ans,4,B,Ab2,69,W5,0.16,1.99,
21 juin 2022,3_ans,4,B,P1,58,SW9,,1,0.3
21 juin 2022,3_ans,4,B,P2,1,N8,,1,0.15
21 juin 2022,3_ans,4,C,Ab1,59,S2,,0.5,
21 juin 2022,3_ans,4,C,Ab2,2,N3,,1.99,
21 juin 2022,3_ans,4,C,P1,29,SE5,0.13,2.99,
21 juin 2022,3_ans,4,C,P2,30,E6,,0.25,
21 juin 2022,2_ans,7,A,Ab1,34,E5,,0.1,
21 juin 2022,2_ans,7,A,Ab2,36,E2,,0.2,
21 juin 2022,2_ans,7,A,P1,47,E3,,0.1,
21 juin 2022,2_ans,7,A,P2,48,E4,,,
21 juin 2022,2_ans,7,B,Ab1,1,NE5,,2.99,
21 juin 2022,2_ans,7,B,Ab2,2,NE6,,1,
21 juin 2022,2_ans,7,B,P1,24,E5,,1,
21 juin 2022,2_ans,7,B,P2,58,W8,,0.5,
21 juin 2022,2_ans,7,C,Ab1,31,S5,,1,0.07
21 juin 2022,2_ans,7,C,Ab2,30,S4,,1.99,
21 juin 2022,2_ans,7,C,P1,22,SE3,,3.98,
21 juin 2022,2_ans,7,C,P2,29,S4,,2.99,
5 juin 2022,Aucun,15,A,Ab1,59,W4,0.33,1,
5 juin 2022,Aucun,15,A,Ab2,1,N5,,0.2,
5 juin 2022,Aucun,15,A,P1,58,SW5,0.66,7.96,
5 juin 2022,Aucun,15,A,P2,34,E5,,0.1,
9 juin 2022,Aucun,15,B,Ab1,40,W3,0.66,1.99,
9 juin 2022,Aucun,15,B,Ab2,41,SW4,,0.8,
9 juin 2022,Aucun,15,B,P1,39,W1,,3.98,0.06
9 juin 2022,Aucun,15,B,P2,9,NE4,,0.5,
9 juin 2022,Aucun,15,C,Ab1,29,SE2,,1,
9 juin 2022,Aucun,15,C,Ab2,36,SW2,,0.7,
9 juin 2022,Aucun,15,C,P1,63,W5,,,
9 juin 2022,Aucun,15,C,P2,64,W6,,,
24 juin 2022,Intensif,19,A,Ab1,1,N2,,1,
24 juin 2022,Intensif,19,A,Ab2,36,O4,,,
24 juin 2022,Intensif,19,A,P1,54,53,0.33,0.5,
24 juin 2022,Intensif,19,A,P2,21,NO5,,1,
24 juin 2022,Intensif,19,B,Ab1,1,E1,,1,
24 juin 2022,Intensif,19,B,Ab2,34,SE1,,1,
24 juin 2022,Intensif,19,B,P1,72,O4,,0.5,0.07
24 juin 2022,Intensif,19,B,P2,24,E5,,1,0.15
24 juin 2022,Intensif,19,C,Ab1,42,S4,,1,
24 juin 2022,Intensif,19,C,Ab2,64,O1,,1.99,
24 juin 2022,Intensif,19,C,P1,78,O4,,2.99,
24 juin 2022,Intensif,19,C,P2,79,O4,0.33,1,0.03
24 juin 2022,Standard,20,A,Ab1,15,E1,,1,
24 juin 2022,Standard,20,A,Ab2,16,E1,,0.5,
24 juin 2022,Standard,20,A,P1,92,O9,,2.49,0.15
24 juin 2022,Standard,20,A,P2,93,O9,,,0.03
