Date_(AA-MM-JJ),Trait.,Placette,Bloc,Micro.plac.,PAI
21 juin 2022,3_ans,4,A,E6,3.13
21 juin 2022,3_ans,4,A,N6,2.9
21 juin 2022,3_ans,4,A,O6,2.97
21 juin 2022,3_ans,4,A,S6,3.41
21 juin 2022,3_ans,4,B,E6,2.74
21 juin 2022,3_ans,4,B,N6,2.87
21 juin 2022,3_ans,4,B,O6,2.94
21 juin 2022,3_ans,4,B,S6,2.78
21 juin 2022,3_ans,4,C,E6,3.06
21 juin 2022,3_ans,4,C,N6,3.13
21 juin 2022,3_ans,4,C,O6,3.1
21 juin 2022,3_ans,4,C,S6,3.3
21 juin 2022,2_ans,7,A,E6,3.75
21 juin 2022,2_ans,7,A,N6,3.15
21 juin 2022,2_ans,7,A,O6,3.55
21 juin 2022,2_ans,7,A,S6,4.79
21 juin 2022,2_ans,7,B,E6,3.8
21 juin 2022,2_ans,7,B,N6,3.46
21 juin 2022,2_ans,7,B,O6,3.76
21 juin 2022,2_ans,7,B,S6,3.64
21 juin 2022,2_ans,7,C,E6,3.95
21 juin 2022,2_ans,7,C,N6,3.57
21 juin 2022,2_ans,7,C,O6,3.68
21 juin 2022,2_ans,7,C,S6,3.83
5 juin 2022,Aucun,15,A,E6,2.52
5 juin 2022,Aucun,15,A,N6,2.07
5 juin 2022,Aucun,15,A,O6,1.87
5 juin 2022,Aucun,15,A,S6,1.78
9 juin 2022,Aucun,15,B,E6,2.31
9 juin 2022,Aucun,15,B,N6,2.14
9 juin 2022,Aucun,15,B,O6,2.31
9 juin 2022,Aucun,15,B,S6,3.47
9 juin 2022,Aucun,15,C,E6,2.16
9 juin 2022,Aucun,15,C,N6,2.89
9 juin 2022,Aucun,15,C,O6,2.06
9 juin 2022,Aucun,15,C,S6,2.09
24 juin 2022,Intensif,19,A,E6,3.19
24 juin 2022,Intensif,19,A,N6,2.53
24 juin 2022,Intensif,19,A,O6,2.3
24 juin 2022,Intensif,19,A,S6,2.85
24 juin 2022,Intensif,19,B,E6,2.71
24 juin 2022,Intensif,19,B,N6,2.85
24 juin 2022,Intensif,19,B,O6,2.26
24 juin 2022,Intensif,19,B,S6,2.34
24 juin 2022,Intensif,19,C,E6,2.83
24 juin 2022,Intensif,19,C,N6,3.12
24 juin 2022,Intensif,19,C,O6,3.31
24 juin 2022,Intensif,19,C,S6,2.99
24 juin 2022,Standard,20,A,E6,3.04
24 juin 2022,Standard,20,A,N6,3.16
24 juin 2022,Standard,20,A,O6,3.28
24 juin 2022,Standard,20,A,S6,2.68
24 juin 2022,Standard,20,B,E6,2.42
24 juin 2022,Standard,20,B,N6,2.95
24 juin 2022,Standard,20,B,O6,2.55
24 juin 2022,Standard,20,B,S6,2.39
24 juin 2022,Standard,20,C,E6,3.84
24 juin 2022,Standard,20,C,N6,3.01
24 juin 2022,Standard,20,C,O6,2.96
24 juin 2022,Standard,20,C,S6,2.9
21 juin 2022,2_ans,28,A,E6,3.46
21 juin 2022,2_ans,28,A,N6,3.34
21 juin 2022,2_ans,28,A,O6,3.69
21 juin 2022,2_ans,28,A,S6,3.52
